ym,dong,phase,0-19,20-39,40-59,60+
201710,제기동,야간,3788.9032258064512,10632.193548387097,8070.204301075269,9156.52688172043
201710,전농1동,야간,4440.279569892473,9974.483870967742,9489.698924731183,8410.548387096775
201710,전농2동,야간,2956.774193548387,4472.537634408603,5183.666666666667,4281.591397849462
201710,답십리1동,야간,3667.3978494623657,7033.763440860214,6704.419354838709,5016.806451612903
201710,답십리2동,야간,3442.559139784946,6501.215053763441,7674.494623655914,6913.720430107526
201710,장안1동,야간,3980.4086021505377,10944.397849462366,10156.838709677419,8173.182795698925
201710,장안2동,야간,4081.279569892473,8790.47311827957,8859.989247311829,6979.333333333333
201710,청량리동,야간,2009.978494623656,5595.956989247312,5552.784946236559,6644.623655913979
201710,회기동,야간,2424.9139784946237,9679.7311827957,3983.52688172043,4056.516129032258
201710,휘경1동,야간,2029.5698924731184,6839.935483870967,4006.3763440860216,3904.3870967741937
201710,휘경2동,야간,3304.4193548387098,8459.2688172043,5988.322580645162,5034.193548387097
201710,이문1동,야간,4099.247311827957,14766.774193548386,7036.795698924731,6190.451612903226
201710,이문2동,야간,3108.752688172043,4864.731182795699,5427.623655913979,4647.225806451613
201710,용신동,주간,4427.433179723502,14563.792626728111,15424.230414746544,14501.036866359447
201710,제기동,주간,3520.147465437788,10122.548387096775,9139.52995391705,12170.778801843318
201710,전농1동,주간,5190.36866359447,10397.336405529955,10605.207373271889,11196.705069124424
201710,전농2동,주간,3565.815668202765,5052.571428571428,3666.2718894009217,3284.15668202765
201710,답십리1동,주간,2598.184331797235,4974.594470046083,5450.58064516129,4548.700460829493
201710,답십리2동,주간,2051.299539170507,4381.437788018434,5568.322580645161,5057.119815668202
201710,장안1동,주간,3148.4331797235022,9667.760368663596,10887.746543778801,8213.442396313363
201710,장안2동,주간,4379.119815668203,7509.004608294931,8753.465437788018,6622.3963133640555
201710,청량리동,주간,2268.2350230414745,6196.4562211981565,6725.308755760369,8510.308755760369
201710,회기동,주간,3740.9124423963135,10285.142857142857,4365.433179723502,3909.8018433179723
201710,휘경1동,주간,2075.5299539170505,6555.691244239631,4616.709677419355,4627.138248847927
201710,휘경2동,주간,3445.649769585253,5545.834101382488,4190.2811059907835,3828.7557603686632
201710,이문1동,주간,3931.5714285714284,15337.42857142857,5871.903225806452,4915.820276497696
201710,이문2동,주간,1614.6451612903224,2653.5806451612907,3073.709677419355,3068.1290322580644
201711,용신동,야간,4068.8333333333335,13847.477777777778,11060.455555555556,10049.866666666667
201711,제기동,야간,4046.0,11971.566666666666,8391.711111111112,9343.022222222222
201711,전농1동,야간,4540.011111111111,10348.41111111111,9688.722222222223,8568.1
201711,전농2동,야간,3056.1222222222223,4492.599999999999,5188.2,4359.2
201711,답십리1동,야간,3772.722222222222,7446.177777777778,6938.0888888888885,5148.288888888889
201711,답십리2동,야간,3524.788888888889,6628.677777777778,7846.944444444444,7125.577777777778
201711,장안1동,야간,3956.6555555555556,11280.91111111111,10484.066666666668,8311.800000000001
201711,장안2동,야간,4130.111111111111,8680.866666666667,8972.466666666667,7004.433333333333
201711,청량리동,야간,2092.4333333333334,5945.366666666666,5713.877777777779,6886.61111111111
201711,회기동,야간,2811.2666666666664,11511.866666666667,4123.211111111111,4319.099999999999
201711,휘경1동,야간,2158.322222222222,7644.011111111111,4148.033333333334,3919.3777777777777
201711,휘경2동,야간,3566.3333333333335,9090.800000000001,6143.099999999999,5068.811111111111
201711,이문1동,야간,4454.288888888889,16970.111111111113,7185.822222222222,6141.2555555555555
201711,이문2동,야간,3411.866666666667,5122.722222222222,5713.011111111111,4746.577777777778
201711,용신동,주간,4228.809523809524,15960.64761904762,16773.1,15483.880952380952
201711,제기동,주간,3811.7809523809524,11305.890476190476,9703.34761904762,13246.0
201711,전농1동,주간,5423.066666666667,10344.166666666668,10668.385714285714,11327.42857142857
201711,전농2동,주간,4011.128571428572,5456.152380952381,3579.0142857142855,3340.695238095238
